smiles,logP,MW
CCCC[C@@H](NC(N)=O)C(=O)NC1(c2cccc(Br)c2)CCC1,3.1716,382.3
c1c(cnc(n1)C#N)F,0.487,123.09
C1C2N1CC1=C2C=CN1,0.885,120.15
CN(c1ccccc1)C1CCN(C(=O)Nc2nccs2)CC1,3.2758,316.43
Cc1ccc(C(=O)N[C@@H](C(=O)NCc2nnc3n2CCC3)C(C)C)cc1,1.60352,355.44
Cc1nc(S(=O)(=O)NCCC(=O)NN2Cc3ccccc3C2)cn1C,0.44392,363.44
Cc1cccnc1C[C@@H](Cl)c1ccoc1,3.5056199999999995,221.69
CC1CC2NC12C1CO1,0.136,125.17
CCN(CC)C(=O)[C@H]1CCC[NH+]1Cc1cn(C)nc1-c1ccncc1,0.8978,342.47
NC(=O)NCCCCc1nc(Cc2cccc(Cl)c2)no1,2.3048,308.77
CCC(C)N=C1CCO1,1.604,127.19
CCc1nn(C)cc1NC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O,2.3336,329.28
CC1N(CCO)C1(C)C,0.461,129.2
CCOC(=O)Cc1csc(NC(=O)c2ccc([O-])nn2)n1,0.3646,307.31
CC(C)[C@@H]1CC[C@H](C)C[C@H]1OCC(C)(C)C(=O)NN,2.4799,270.42
CC1C2C3C4C=C1C2N34,0.627,119.17
O=C(CCCc1ccccn1)Nc1cc(F)ccc1O,2.8877,274.3
CC(C)[C@H]1NC(=O)[C@@H]2C[C@H](NC(=O)c3cc(F)ccc3F)CN2C1=O,0.8185,351.35
C[C@@H](Nc1ccc(CO)cc1)C(=O)NCCc1ccc(F)cc1,2.4773,316.38
[NH3+]CC1CCC(c2nnc(-c3cccs3)o2)CC1,2.3138,264.37
CC(C)CC[S@@](=O)CC(=O)N[C@@H](C)c1ccc(Cl)cc1Cl,3.9654,350.31
CCCn1cc([C@H](C)[C@H](C)[NH2+]C(C)C)cn1,1.7569,224.37
O=C(NCCC1=CCCCC1)C(=O)NC[C@@H](O)c1cccc2ccccc12,2.9961,366.46
N=C1OC23CCC2CC13,1.163,123.15
CC(=O)C[C@@H]1CCCN1Cc1ncc(Cl)n1C,2.017,255.75
CCC12CC1(C)C1OC21,1.574,124.18
O=C(NCc1cccc([N+](=O)[O-])c1)N[C@@H](CN1CCCC1=O)c1ccccc1,2.7577,382.42
O=CNC12CC(C1)C=C2,0.451,123.15
CCC(=O)C1CC(=O)O1,0.281,128.13
O=C(NC1CC1)[C@@H](c1ccccc1)N1CCN(c2ccccc2[N+](=O)[O-])CC1,2.7367,380.45
Cc1ccc(F)cc1NC(=O)CSc1nnc(-c2ccco2)o1,3.50792,333.34
Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2C)cc1C(=O)NCC(C)(C)C[NH+](C)C,1.45862,410.6
CCCN(CC(=O)N1CCCC1)CC(F)(F)F,1.8831,252.28
CC12CN3CC1C23,0.32,95.14
Cc1ccc(C)c(-n2nc(C)c(CN3CCO[C@H](C(N)=O)C3)c2Cl)c1,2.13706,362.86
CC1CN=C2OCCN12,0.077,126.16
CC12C3N1C1C=C3CC21,0.771,119.17
CC(C)C(=O)C(C)C,1.867,114.19
CCC[NH2+][C@H](C)CCCN1C(=O)CC(C)CC1=O,0.9136,255.38
CC(C)[C@@H](NC(=O)Nc1ccccc1C(F)(F)F)C(=O)N1CCOCC1,2.7103,373.38
c1cc(oc1)C#CCO,0.623,122.12
COc1ccc(CN(C)C(=O)Cn2cnc3c(oc4ccccc43)c2=O)cc1F,2.949,395.39
COC1OC=NC1(C)C,0.796,129.16
CC(C)(O)C#Cc1ccc(C[NH2+][C@H]2CCCN(c3nc4ccccc4s3)C2)s1,3.2126,412.6
C/C=C(/C)C(=O)NCc1cccc(NC(=O)C[NH+](C)C)c1,0.352,290.39
CC(C)n1ncnc1C[C@@](C)(O)c1cc(F)cc(F)c1,2.5874,281.31
CC12CCC3(CCC13)O2,1.718,124.18
CNC(=O)c1ccc(N2CCC[C@H](c3nc(C)no3)C2)nn1,0.91162,302.34
C[C@H]1C[C@H](NC(=O)c2ccc3c(c2)COCO3)CN1c1ccccc1,2.9503,338.41
Cc1c(CN(CC(F)(F)F)C(C)C)cccc1[N+](=O)[O-],3.67592,290.29
C[C@H]1CC[C@@H](O)[C@H](CCO)C1,1.1659,158.24
OC12CC(C1)C1CCC21,1.167,124.18
Cc1ccc(C)c(C(=O)CCC(=O)N[C@H]2CC[C@@H]([NH+](C)C)C2)c1,1.44814,317.45
CC12CC1C1(C)OC21,1.184,110.16
O=S(=O)(Cc1nc(C2CC2)no1)c1ccc2ccccc2n1,2.4691,315.35
CCn1cc([C@H](C)[NH2+]Cc2ccccc2OC)c(C)n1,2.04462,274.39
C[C@@H](CC[NH+](C)C)NC(=O)CCN1c2ccccc2CC[C@H]1C,1.2571,318.49
C#CCC12CC1OC2,0.799,108.14
O=C(NNc1ccccc1[N+](=O)[O-])c1cccc2c1OCO2,2.0804,301.26
COCc1ccccc1NCc1c[nH]nc1-c1ccc(OC)cc1,3.8438,323.4
CC(C)(C)C1CC[NH+](c2ncc(N)cc2Br)CC1,2.3988,313.26
N#CCC1CCC2CN12,0.747,122.17
Cc1nnc(-c2cccc(C(=O)N(C)[C@H](C)c3ccncc3)c2)o1,3.27322,322.37
CC1=CCC2OC=NC12,1.132,123.15
Cc1cc(C(=O)N2CCC(CNC(=O)Nc3ccccc3C(F)(F)F)CC2)no1,3.67572,410.4
C[C@H](NC[C@@H](c1cccc(F)c1)N1CCOCC1)c1ccc(F)cn1,3.0839,347.41
O=C(CCC1CCCCC1)N1CCN(Cc2nnc(-c3ccco3)o2)CC1,3.3343,372.47
COc1ccccc1NC(=O)C[C@@H](O)c1ccc(Cl)cc1,3.4108,305.76
CC(C)(C)OC(=O)c1ccc(C(=O)N2CCO[C@@H]3CCCC[C@H]32)cc1,3.4255,345.44
C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1,2.60002,333.45
O=C1NC(=S)NC(=O)C1=Cc1ccc(Oc2ccc([N+](=O)[O-])cn2)cc1,1.6964,370.35
O=C(c1cscn1)N1C[C@H]2CCCC[C@H]2C1,2.4053,236.34
Cc1cc(N)nc(S[C@H](C)C(=O)Nc2ccc(SC(F)F)cc2)n1,3.80122,370.45
CC1CC2(C)COC1C2,1.821,126.2
Cc1ccccc1N1C[C@H](c2nnc(NC(=O)[C@@H]3CC(=O)N(C4CCCCC4)C3)s2)CC1=O,3.48672,467.6
CCN1CCOc2ccc(NS(=O)(=O)c3ccc(C)c(Cl)c3)cc2C1=O,3.30372,394.88
CSc1cccc(NC(=O)c2ccccc2N(C)S(C)(=O)=O)c1,3.0566,350.47
C1CC12C=CNC2=O,0.41,109.13
CC1(CC2CC12)OC=O,0.958,126.15
CC(C)[C@H](C)NC(=O)C[NH+](C)C1CCN(c2ccc(F)cc2)CC1,1.4699,336.48
CCN1C(=S)N[C@@H](c2ccccc2OC(F)F)C(C(=O)OC)=C1C,2.9861,356.39
CC(C)[C@H](CNC(=O)Nc1ccnn1Cc1ccccn1)c1cccnc1,3.2827,364.45
COC(=O)[C@@H](Br)Cc1ccccc1F,2.3047,261.09
CC(C)N(CCC#N)Cc1cc(N)cc[nH+]1,1.20698,219.31
c1coc2c1CNC=N2,1.043,122.13
C[C@@H](O)CNC(=O)C[C@H](O)c1ccc(Cl)cc1,1.2605,257.72
O=C(CN1CCCc2ccccc21)Nc1ncc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)s1,3.2754,458.52
CC[C@H](C#N)Oc1cccc(C[NH2+][C@H]2CCCOc3cc4c(cc32)CCC4)c1,3.83358,377.51
CCC1(CN1)C(C)OC,0.773,129.2
O=C(NCCc1c[nH]c2ccc(Cl)cc12)N1CCC[C@@H]1CO,2.5301,321.81
Cn1ncc2c(NCc3cnc4ccccn34)nc(-c3ccncc3)nc21,2.6851,356.39
O=C1O[C@H](C(=O)N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)Cc2ccccc21,1.9546,434.9
COC(=O)C1=C[C@@H]2C(C(C)=O)=C(C)O[C@H]2O1,0.909,224.21
COC(=O)C1(NC(=O)c2cc3c(s2)CC[C@@H](C)C3)CCCCC1,3.4786,335.47
CCc1c(CBr)cnn1-c1ccc(OC)cc1,3.3382,295.18
Cc1noc(CCCC(=O)N[C@H](C)c2cn(C)nc2C)n1,1.62004,291.36
Cc1ncc(S(=O)(=O)N(C)C2CCC(C)(C)CC2)[nH]1,2.30742,285.41
CC(C#C)C1CC(C)O1,1.433,124.18
COc1ccc(Br)cc1-c1nc(C)c(C(C)=O)n1[O-],3.1781200000000003,324.15
CCOC(=O)c1sc2ncn(Cc3ccccc3C#N)c(=O)c2c1C,2.8631,353.4
CN1C=CC2=NN(C)[C@@H](SCc3ccccc3)C2=C1,2.8903,271.39
Cc1cc([N+](=O)[O-])cc(S(=O)(=O)N2CCC[C@H]2c2ccccc2)c1C,3.73744,360.44
CN(Cc1[nH+]ccn1C)C(=O)CCCC1CCCC1,2.1581,264.39
CN(C)C(=O)CCNC(=O)N(Cc1cccc(F)c1)C1CC1,1.978,307.37
CCOC(=O)c1csc(NC(=O)/C=C(/C)c2ccccc2OC)n1,3.3704,346.41
Cc1cc(C)n(-c2ccc(N3CCC(C(=O)Nc4cccc(C)c4C)CC3)nn2)n1,3.75108,404.52
CC(C)CN1C(=O)C2(CCCC2)N[C@H]1c1cn(C)nc1-c1ccncc1,2.8813,353.47
Cc1ccccc1C(=O)NC1C(C)(C)C([NH3+])C1(C)C,1.7699200000000002,261.39
CC(O)C1OCC2CC12,0.402,128.17
O=C1O[C@@H](c2ccc(Cl)c(Cl)c2)C(=O)C1=O,1.7295,259.04
CC12CC3(C=O)C(O1)C23,0.363,124.14
CCOc1ccc(NCC(=O)Nc2cc(C)ccc2OC)cc1,3.45292,314.39
CC[NH2+][C@@]1(C(N)=O)CC[C@@H](N2Cc3ccccc3C2)C1,0.3621,274.39
CCn1cc(C(=O)NCc2ccc(N3CCC(C)CC3)[nH+]c2)c(C(C)C)n1,3.0068,370.52
O=C1CC2C(C#N)C12,0.345,107.11
Cc1c(cc[nH]c1=O)N,0.266,124.14
O=Cc1ccn(-c2ccc(Br)cc2)c1,3.0523,250.09
CNC(=O)NC(=O)[C@H](C)Sc1ncccc1Cl,1.6712,273.75
Cc1cnn(CCC(=O)N[C@H](C)c2ccc(-n3cccn3)cc2)c1,2.64472,323.4
COc1cccc([C@@H]2CN(C(=O)C3CC3)[C@H]3CC[NH+](Cc4ccc(C)cc4)C[C@H]32)c1,2.81302,405.56
O=c1c(O)csc2ccccc12,1.9671,178.21
CNC(=O)c1cc2c(s1)CCN(C(=O)[C@@H]1CCCN(C(N)=O)C1)C2,0.7831,350.44
CCNC(=O)Cn1cnc2cc(-c3ccc(OC)cc3)sc2c1=O,2.2697,343.41
COc1cc(C(=O)N(C)C)ccc1NC(=O)Cc1ccccc1C,2.88662,326.4
O=C(CCc1cccc([N+](=O)[O-])c1)Nc1ccc2c(c1)NC(=O)CS2,3.2103,357.39
CCOc1ccc([C@H](C)[C@](O)(C(=O)[O-])C(C)C)cc1,1.3258,265.33
CN=C1C(=O)C=CN1C,0.043,124.14
CN(CC(=O)NC1CC1)C(=O)C[NH+]1CCC[C@H]1c1cccc(Br)c1,0.9059,395.32
O=c1c(CN2C[C@@H]3CCC[NH+]3C[C@@H]2CCO)coc2ccc(Cl)cc12,1.0603,363.87
CC12COC3C(C=C1)C23,1.207,122.17
COC(=O)[C@](NC(=O)c1ccc(F)cc1)(Nc1[nH+]cccc1C)C(F)(F)F,2.22172,386.33
CC1=NC2CC2(C)CO1,1.214,125.17
CCc1nn(C)c(OC)c1C[NH+](C)C[C@@H]1CCCCO1,0.5749,282.41
Cc1cccc(OCCN(C)C(=O)NCCC(=O)N(C)C)c1,1.4935200000000002,307.39
Cc1n[nH]c(C)c1CN1CCC([NH+]2CCC[C@@H](C(=O)NC3CC3)C2)CC1,0.5644399999999999,360.53
O=C(CN1CSCC1=O)Nc1cccc(Cl)c1,1.8114,270.74
C[C@H](Cc1ccc(Cl)cc1)[NH2+]C[C@H]1CCCCO1,2.4035,268.81
N=C1NC=CCOC1=N,0.074,125.13
C=CCN(CC(=O)NC1CCCC1)S(=O)(=O)c1cccc(Cl)c1,2.5755,356.88
C[C@@H]1CCCC[C@H]1OCC[NH+]1CCC(NC(N)=O)CC1,0.2973,284.42
CC(=O)Nc1cccc([C@H](C)[NH2+]Cc2ccnn2C)c1,1.2031,273.36
CC1C2CC3CC1C2O3,1.43,124.18
O=C(c1cncc(N2CC[C@H](N3CCOCC3)[C@H](CCCO)C2)n1)N1CCCC1,1.0122,403.53
CCN(CC)c1ccc2cc(C(=O)Nc3ccc(NC(C)=O)cc3)c(=O)oc2c1,3.8499,393.44
Cc1c2c(nno2)on1,0.519,125.09
CN(C)c1cc([C@H]2CCCN(c3ncccn3)C2)cc[nH+]1,1.7407,284.39
CC(=O)Nc1ccc(C)cc1S(=O)(=O)Nc1ccc(C2(C(=O)NC(C)C)CC2)cc1,3.31042,429.54
Cc1cccc(CN[C@@H]2CCc3c(c(C(=O)N4CCc5ccccc5C4)nn3C)C2)n1,2.96912,415.54
Cc1cccc(C2=NO[C@@H](Cn3c(=O)[nH]c4cc5c(cc4c3=O)OCO5)N2)c1,1.03462,380.36
O=C(c1ccncc1)N1CCN(c2cncc(Br)c2)CC1,2.2015,347.22
COC[C@@H]([NH2+]C(C)C)c1ccc(F)cn1,0.88,213.28
Cc1nc(C)n(-c2ccc(C(=O)N(C3CCCC3)C3CC3)cc2)n1,3.43134,324.43
CC[C@](C[NH3+])(Cc1nc(C)c(C)s1)c1ccccc1,2.8923400000000004,275.44
N#CC1CC2(CC2)O1,0.831,109.13
CCC1OC(=N)C1C=O,0.588,127.14
C#CCCC(=O)C1CC1,1.379,122.17
OC1CC2CCC=C12,1.087,110.16
N#CC12CCCCC1O2,1.222,123.15
C#Cc1cc(F)c(NC(=O)N[C@@H]2COc3ccccc3C2)c(F)c1,3.0713,328.32
Cc1csc(=O)n1CC(=O)OCC(=O)N[C@H](C)c1ccc(F)cc1,1.7779200000000002,352.39
N#CC1C2CCC3C2N13,0.355,120.16
Cc1cc(C(=O)NCc2ccccn2)c2c(C)nn(C)c2n1,1.91014,295.35
CC(C)[C@H]1C(=O)NC(=O)C[C@@]12CCCS[C@H]2C,2.207,255.38
O=C(C1CCC1)N1CCc2c(nc([C@@H]3CCN(Cc4ccccc4F)C3)[nH]c2=O)C1,2.5833,410.49
O=S(=O)(C1CC1)N1CCC([NH2+]Cc2cc(F)c([O-])c(F)c2)CC1,0.0584,346.4
O=CC12CCC1C(=O)C2,0.554,124.14
CN(CCCC#N)C=O,0.378,126.16
CC1(C)CN(C(=O)C2CCN(C(=O)CCOc3ccccc3)CC2)C1(C)C,3.3411,372.51
O=C(Cc1c[nH]c2ccc(Cl)cc12)NC[C@H](CCO)c1ccccc1,3.6462,356.85
COCCNS(=O)(=O)c1ccc(C)c(C(=O)Nc2ccc(F)c(Cl)c2)c1,2.9645200000000003,400.86
C1CC(=C(C1)N)C=O,0.582,111.14
Fc1ccc(/C=N/Nc2cnccn2)cc1,2.0617,216.22
Brc1ccc(OCC[C@@H]2CCCC[NH2+]2)nc1,1.7289,286.19
CC1OC(=N)CC2OC12,0.54,127.14
CC(C)NC(=O)COC(=O)c1ccnc(OC(C)(C)C)c1,1.9403,294.35
CC(CO)COC=N,0.238,117.15
NC(=O)COc1ccc(NC(=O)c2cccc(C(F)(F)F)c2F)cc1,2.9609,356.27
C[C@H](C(=O)N(Cc1cccs1)C1CC1)n1c(=O)oc2ccccc21,3.4082,342.42
COc1cccc(N2C(=O)N=C(O)/C(=C/c3ccc[nH]3)C2=O)c1,2.53,311.3
CC(OC1CC1O)C#N,0.048,127.14
Cc1ccc(NC(=O)[C@@H](C)O/N=C/C(=O)Nc2ccc(F)cc2)cc1F,3.24132,361.35
Nn1c(SCC(=O)NC2CCCCC2)nnc1-c1cc(-c2ccc(F)cc2)[nH]n1,2.7291,415.5
CC1(C#C)C2CCN12,0.466,107.16
COCCNc1nc2nonc2nc1N1CC[NH+](Cc2cccc(Cl)c2)CC1,0.6296,404.88
Cc1c(C(=O)NCCn2c(C)cc3ccccc32)cccc1[N+](=O)[O-],3.59634,337.38
CCCNc1cnco1,1.496,126.16
Nc1ccc(C(=O)OCc2ccc(O)cc2)c(N)c1,1.9136,258.28
CC1C=C(C)C2(O)CC12,1.333,124.18
CC(C)CCOc1ccccc1C[NH+]1CCC[C@H](C[NH3+])C1,1.1483,292.47
Cc1cc(NC(=O)N[C@H](C)CCC(C)C)no1,2.92922,239.32
CC(C)(C)Oc1cc(CNC(=O)[C@H]2C[C@H]2[N+](=O)[O-])ccn1,1.5403,293.32
COc1ccc(N2C[C@H](C(=O)Nc3ccc(C)c(N4CCCC4=O)c3)CC2=O)cc1,3.12202,407.47
COc1cccc(CNC(=O)[C@]2(C)CCCN(S(=O)(=O)c3cc(C)c(C)cc3C)C2)c1,3.72766,444.6
CC(C)[NH2+]CC(=O)N(C)Cc1cccc(F)c1,0.7559,239.31
COc1ccc(C[NH+]2CCC([C@@H]3C[C@H](C(F)(F)F)n4ncnc4N3)CC2)cc1,2.0694,396.44
Brc1cnc2c(-c3nc(-c4ccc5c(c4)CCO5)no3)cnn2c1,3.1437,384.19
Cc1csc2nc(Cc3cc(Cl)c4c(c3)OCCO4)[nH]c(=O)c12,3.30842,348.81
CC(=O)[C@@](C)(Cl)Cc1ccc(Cl)cc1,3.469,231.12
C[C@@H](CNC(=O)N(C)C[C@H]1CC[NH+](C)C1)c1nc(-c2ccccc2)no1,1.0161,358.47
Cc1ncccc1CN(C)Cc1ncnn1C,1.15052,231.3
CC1(C)COC(=N)O1,0.747,115.13
C[C@@H]1CCc2c(sc3c2C(=O)N[C@H](c2ccncc2)N3)C1,3.122,299.4
O=C1CC2CC(C1)C=C2,1.542,122.17
C#CC1N=COC2CC12,0.435,121.14
O=S(=O)(C[C@H]1CCOC1)N[C@@H](c1cccc(C(F)(F)F)c1)C1CC1,3.1124,363.4
COC(=O)c1cccc(C)c1[N-]S(=O)(=O)c1cc(F)ccc1C,3.62324,336.36
CC(=O)N1CCN(CC[NH2+]Cc2cc(F)ccc2Br)CC1,0.8157,359.26
O=C(c1ccno1)N1CCN(c2nc3ccc(OC(F)(F)F)cc3s2)CC1,3.1453,398.37
O=C(CCSc1ccc(F)c(F)c1)NC(=O)NC1CCCC1,3.2154,328.38
COc1ccc(S(=O)(=O)NC[C@H]2CCOC2)cc1C,1.31842,285.37
Cc1c(onc1C#C)C,1.273,121.14
CC1CC2CC=C(C)C12,2.609,122.21
Cc1c[nH]c2c1[nH]nc2,1.199,121.14
Cn1c(=O)c2c(-c3ccccc3)n(NC(=O)[C@H](O)c3ccccc3)cc2n(C)c1=O,1.5094,404.43
Cc1ncnn1CC#C,0.22,121.14
COc1cccc(N2CCN(c3nc(C)nc4[nH]ccc34)CC2)c1,2.6015200000000003,323.4
Cc1cc(NC(=O)[C@H]2CC[NH2+][C@@H]2C)ncc1Br,1.06282,299.19
NC(=O)CSc1ccccn1,0.659,168.22
CCOc1cc(NC(=O)C2CC=CC2)c([N+](=O)[O-])cc1OCC,3.2969,320.35
Cc1ccc(NCc2nnc(C(C)(C)C)o2)cc1C,3.5960400000000003,259.35
Cc1nc(C(=O)Nc2ccc(C3=NNC(=O)CC3)cc2)nn1-c1ccccc1C(C)C,3.56552,416.49
O=C([O-])C[C@@H]1CN(C(=O)c2ccc(Br)s2)CCO1,0.4916,333.18
Cc1ccccc1[C@@H](C)CC(=O)N1CC[C@H](C)[C@H](O)C1,2.71792,275.39
C=C(C)C[NH+]1CCC(NC(=O)NCc2cn3c([nH+]2)CCCC3)CC1,0.0611,333.48
CC(C)C12CC1CCO2,1.821,126.2
CS[C@@H]1CC[C@H](NC(=O)c2ccn(-c3cccc([N+](=O)[O-])c3)n2)C1,2.7944,346.41
c1cc-2nccc2oc1,1.779,119.12
CC1CC(=CC1=O)C#C,1.155,120.15
CS[C@@H]1CC[C@@H](Nc2cncc(Br)c2)C1,3.5401,287.23
CCCC1CC(C)C1C,3.079,126.24
CCCCCNC(=O)CN1C(=O)N[C@](C)(C2CC2)C1=O,1.0133,281.36
CCc1cccc2sc(N(C[C@H]3CCCO3)C(=O)[C@H]3CCCN(S(C)(=O)=O)C3)nc12,3.0423,451.61
O=C(C[C@H](O)c1ccccc1)NCc1ccc(OC2CCCC2)nc1,3.1429,340.42
CC(C)[C@@H](c1ccccc1)[C@@H](C)[NH3+],2.0566,178.3
CCC([NH3+])(CC)C(=O)Nc1cc(Cl)ccc1C(=O)N(C)C,1.781,312.82
CC(=O)Nc1ccc2[nH]c(C)c([C@H](c3ccccn3)N3CCOCC3)c2c1,3.25132,364.45
CCC[C@@H]1C[C@H]1NC(=O)NC[C@@H](c1cccs1)[NH+]1CCCC1,1.9557,322.5
Cc1noc(NC(=O)c2ccc(OCC(F)(F)F)nc2)n1,1.96642,302.21
C[NH2+][C@H](c1ccc(OC)c(OC)c1)C(C)(C)OC,1.3631,254.35
CC(C)n1nc(O)c2c(-c3cccc(OC(F)F)c3)c3c(nc21)[nH]c(=O)n3C,3.1662,389.36
CC[C@H](C)[C@H](C)[NH2+]C1CCN(S(=O)(=O)C2CC2)CC1,0.941,289.47
C[C@@H](CNC(=O)[C@@H]1SCCc2sccc21)Oc1ccc(F)cc1,3.8013,351.47
CC1=CN=C(O)C(=N)O1,0.168,126.11
CCC(=O)N1CCCN(C(=O)N[C@H]2CCCc3c2cnn3C)CC1,1.4514,333.44
N#Cc1ccc(OCCOC(=O)c2ccsc2)cc1,2.85558,273.31
COc1ccc(C(=O)N2CC(=O)Nc3ccccc32)cc1S(=O)(=O)N1CCCC1,2.0786,415.47
CC(C)OC(C)CC#N,1.714,127.19
CCC(C)(C)C#CC=O,1.625,124.18
COc1ccc(Cl)c(NNC(=O)c2cc(-c3ccccc3)[nH]n2)c1,3.4956,342.79
CCOC(=O)C1(C)CCN(C(=O)c2ccc(Cl)cc2C)CC1,3.45382,323.82
COc1cc(OC)nc(-n2nc(C)cc2C(=O)Nc2cccc(C(F)(F)F)c2)n1,3.25902,407.35
Cc1cc([nH]c1)C2CC2,2.201,121.18
COc1ccc([C@H](C/N=C/c2cc(OC)ccc2O)[NH+]2CCCC2)cc1,2.2483,355.46
COCc1nc2n(n1)C[C@H]([NH2+][C@H](c1cccs1)C1CCCC1)CC2,2.2957,347.51
CC1CC(C)(O)C1C=O,0.592,128.17
COCCNC(=O)[C@H]1CC[C@@H](C)N(C(=O)c2cccc(Cl)c2)C1,2.3433,338.84
O=C(N[C@@H]1c2ccccc2C[C@H]1O)c1cccc(OCC(F)F)n1,2.1136,334.32
c1ccc(CC[NH+]2CCC[C@@H](c3cccc(-n4ccnc4)n3)C2)cc1,2.2723,333.46
O=C(NCCOCC(F)(F)F)Nc1cccc(N2CCCC2=O)c1,2.5138,345.32
O=C(C#N)C1CCCO1,0.258,125.13
O=C(COc1ccccc1F)Nc1ccc(N2CCCC2)cc1,3.4434,314.36
CC1=CC2(CC2)OCC1,1.886,124.18
CCCCCc1nc2sc3c(c2c(=O)n1N)C[C@H](C)CC3,3.0293,305.45
c1nc2c(c(NC[C@@H]3CCCO3)n1)CCCCC2,2.3364,247.34
Cc1cccc(NC(=O)C(=O)N[C@H]2CC[NH+]3CCCC[C@H]23)c1Cl,0.91282,336.84
O=C(Nc1cc(-n2cnnn2)ccc1N1CCCC1)c1ccccc1C(F)(F)F,3.5336,402.38
Cc1c2c(c[nH]1)nno2,0.859,123.11
O=C1CCC(C1)C1CO1,0.754,126.15
CCC1COC1=O,0.569,100.12
CCc1noc(CN2C[C@@H](C)OCC2(C)C)n1,1.6313,239.32
CCc1cnccn1,1.039,108.14
COCc1cc(=O)n(CC(=O)NCc2cccc(Cl)c2)c(N2CCOCC2)n1,1.1961,406.87
Cc1cc(NC(=O)[C@@H]2CCC(=O)O2)n(-c2ccccc2C(F)(F)F)n1,2.84362,353.3
COc1ccc([C@@H](C#N)N2CCN(C(=O)[C@H](C)SC)CC2)cc1,2.15558,333.46
C1N2CCCC3OCC123,0.233,125.17
CC1C2CC2COC1=N,1.266,125.17
CC12OCC3C1C(O)C23,0.012,126.15
C[C@@H]1CN(C(=O)c2cc(Cl)cc3cccnc23)C[C@@H](C)O1,3.1376,304.78
CCCCc1ncco1,2.017,125.17
CN1C(=N)OC(O)=C1C,0.112,128.13
Cc1nc(C)c(C[S@](=O)Cc2nnc(-c3cccc(F)c3)o2)s1,3.39794,351.43
CC1(C)CCCN1C(=O)NCC1(c2ccccc2)CC1,3.3022,272.39
C=CCOc1ccc(-c2nc3s/c(=C\c4ccc([N+](=O)[O-])cc4)c(=O)n3n2)cc1,2.8387,406.42
Cc1cc(CSc2nnc(Cc3csc(C)n3)o2)no1,3.01404,308.39
COc1ccc(/C=C/c2nc3ccccc3c(=O)[nH]2)cc1,3.1021,278.31
[O-]c1c[n+]([O-])ccc1[C@H]1c2ccc(Cl)cc2CCc2cccnc21,2.7208,337.79
CC1OCC2OCCC12,0.81,128.17
CCC1CC1CN1CC1,1.348,125.22
CN(C[C@@H](O)C1CC1)C(=O)[C@@H]1C[C@@H]1c1ccc(Cl)c(Cl)c1,3.3262,328.24
CCOc1ccccc1N1C[C@@H](C(=O)N(CC#N)CC#N)CC1=O,1.31396,326.36
O=S(=O)(c1cccs1)N1CCn2c(nnc2C(F)(F)F)C1,1.5629,338.34
COc1c(N)cc(C)cc1C(N)=O,0.68472,180.21
C1C=CC2OC=NCC12,0.99,123.15
CC12CCC(C1)C(O)C2,1.557,126.2
Cc1cc(NC(=O)/C=C/c2cn(C)c(=O)n(C)c2=O)c2ncccc2c1,1.5925200000000002,350.38
N#Cc1ccc(CNC[C@@H](O)c2c(F)cccc2F)cc1,2.65968,288.3
COc1cc2c(cc1C[NH2+][C@H](C)c1nnc3ccccn13)O[C@@H](C)C2,1.8859,339.42
O=C(COc1ccccc1)N1CC[C@@H]2[C@@H](CCCN2C(=O)/C=C/c2cccs2)C1,3.6798,410.54
c1cc(c(c(c1)F)N)F,1.547,129.11
Cc1c(CN2CCC(N(C)c3ccccc3)CC2)c(=O)n(-c2ccccc2)n1C,3.58522,390.53
N=C1CCC(O1)C1CC1,1.553,125.17
COC(=O)C(C(=O)OC)=C(F)SCC(C)=O,0.8357,250.25
Cc1cccc(N2CC[NH+](CC[C@@H](C)NC(=O)NC[C@@H]3CCCO3)CC2)c1,0.95672,375.54
Cc1ccc(CN(C)c2nc(Cl)ncc2F)o1,2.80692,255.68
COc1ccc(CNC(=O)Cn2ncc3c(C)n(Cc4ccccc4F)c(C)c3c2=O)cc1,3.32724,448.5
Cc1nnc2n1cco2,0.631,123.11
CC12CC(CO)(C1)CC2,1.559,126.2
CC12C3CC1CCCC23,2.443,122.21
CC1CC2(CO2)C2NC12,0.136,125.17
COC(=O)[C@H](Cc1ccccc1)N1C(=O)CCC(C(=O)C(F)(F)F)=C1C,2.7985,369.34
CCCC(=O)COC=O,0.529,130.14
CC[C@@H]1CCCCN1C(=O)[C@H](C)OC(=O)c1ccc(-n2cccn2)cc1,3.2087,355.44
CN(Cc1cccc(Cl)c1)C(=O)[C@H]1CC(=O)N(CCc2ccccc2)C1,3.3896,370.88
Cc1cc(C(=O)NCCCCC#N)sc1Br,3.2427,301.21
OC1C(C#C)C1C1CC1,0.636,122.17
CC(C)[C@@H](C)NC(=O)[C@@H]1CC(=O)N(c2cccc3ccccc23)C1,3.3534,324.42
C[C@@H]1CC(C(=O)NCC2CCN(C(=O)c3ccccc3)CC2)C[C@@H](C)O1,2.8586,358.48
